src,dst,relation
disease::BENH001,text::Cảm cúm,has_name
disease::BENH001,symptom::sốt,has_symptom
disease::BENH001,symptom::ho,has_symptom
disease::BENH001,symptom::sổ mũi,has_symptom
disease::BENH001,symptom::đau đầu,has_symptom
disease::BENH002,text::Viêm họng cấp,has_name
disease::BENH002,symptom::đau họng,has_symptom
disease::BENH002,symptom::sốt nhẹ,has_symptom
disease::BENH002,symptom::nuốt đau,has_symptom
disease::BENH002,symptom::ho khan,has_symptom
disease::BENH003,text::Viêm amidan,has_name
disease::BENH003,symptom::đau họng,has_symptom
disease::BENH003,symptom::sốt,has_symptom
disease::BENH003,symptom::khó nuốt,has_symptom
disease::BENH003,symptom::hôi miệng,has_symptom
disease::BENH004,text::Viêm phế quản cấp,has_name
disease::BENH004,symptom::ho đờm,has_symptom
disease::BENH004,symptom::khó thở nhẹ,has_symptom
disease::BENH004,symptom::sốt,has_symptom
disease::BENH004,symptom::đau ngực,has_symptom
disease::BENH005,text::Viêm mũi xoang,has_name
disease::BENH005,symptom::nghẹt mũi,has_symptom
disease::BENH005,symptom::chảy mũi,has_symptom
disease::BENH005,symptom::đau đầu,has_symptom
disease::BENH005,symptom::sốt,has_symptom
disease::BENH006,text::Viêm mũi dị ứng,has_name
disease::BENH006,symptom::hắt hơi,has_symptom
disease::BENH006,symptom::ngứa mũi,has_symptom
disease::BENH006,symptom::chảy mũi,has_symptom
disease::BENH006,symptom::nghẹt mũi,has_symptom
disease::BENH007,text::Hen phế quản,has_name
disease::BENH007,symptom::khò khè,has_symptom
disease::BENH007,symptom::khó thở,has_symptom
disease::BENH007,symptom::tức ngực,has_symptom
disease::BENH007,symptom::ho,has_symptom
disease::BENH008,text::Sốt siêu vi,has_name
disease::BENH008,symptom::sốt,has_symptom
disease::BENH008,symptom::mệt,has_symptom
disease::BENH008,symptom::đau đầu,has_symptom
disease::BENH008,symptom::đau nhức người,has_symptom
disease::BENH009,text::COVID-19,has_name
disease::BENH009,symptom::sốt,has_symptom
disease::BENH009,symptom::ho,has_symptom
disease::BENH009,symptom::đau họng,has_symptom
disease::BENH009,symptom::mất mùi vị,has_symptom
