node_id,label,type
disease::BENH001,Cảm cúm,disease
text::Cảm cúm,Cảm cúm,text
symptom::sốt,sốt,symptom
symptom::ho,ho,symptom
symptom::sổ mũi,sổ mũi,symptom
symptom::đau đầu,đau đầu,symptom
disease::BENH002,Viêm họng cấp,disease
text::Viêm họng cấp,Viêm họng cấp,text
symptom::đau họng,đau họng,symptom
symptom::sốt nhẹ,sốt nhẹ,symptom
symptom::nuốt đau,nuốt đau,symptom
symptom::ho khan,ho khan,symptom
disease::BENH003,Viêm amidan,disease
text::Viêm amidan,Viêm amidan,text
symptom::đau họng,đau họng,symptom
symptom::sốt,sốt,symptom
symptom::khó nuốt,khó nuốt,symptom
symptom::hôi miệng,hôi miệng,symptom
disease::BENH004,Viêm phế quản cấp,disease
text::Viêm phế quản cấp,Viêm phế quản cấp,text
symptom::ho đờm,ho đờm,symptom
symptom::khó thở nhẹ,khó thở nhẹ,symptom
symptom::sốt,sốt,symptom
symptom::đau ngực,đau ngực,symptom
disease::BENH005,Viêm mũi xoang,disease
text::Viêm mũi xoang,Viêm mũi xoang,text
symptom::nghẹt mũi,nghẹt mũi,symptom
symptom::chảy mũi,chảy mũi,symptom
symptom::đau đầu,đau đầu,symptom
symptom::sốt,sốt,symptom
disease::BENH006,Viêm mũi dị ứng,disease
text::Viêm mũi dị ứng,Viêm mũi dị ứng,text
symptom::hắt hơi,hắt hơi,symptom
symptom::ngứa mũi,ngứa mũi,symptom
symptom::chảy mũi,chảy mũi,symptom
symptom::nghẹt mũi,nghẹt mũi,symptom
disease::BENH007,Hen phế quản,disease
text::Hen phế quản,Hen phế quản,text
symptom::khò khè,khò khè,symptom
symptom::khó thở,khó thở,symptom
symptom::tức ngực,tức ngực,symptom
symptom::ho,ho,symptom
disease::BENH008,Sốt siêu vi,disease
text::Sốt siêu vi,Sốt siêu vi,text
symptom::sốt,sốt,symptom
symptom::mệt,mệt,symptom
symptom::đau đầu,đau đầu,symptom
symptom::đau nhức người,đau nhức người,symptom
disease::BENH009,COVID-19,disease
text::COVID-19,COVID-19,text
symptom::sốt,sốt,symptom
symptom::ho,ho,symptom
symptom::đau họng,đau họng,symptom
symptom::mất mùi vị,mất mùi vị,symptom
disease::BENH010,Ho kéo dài,disease
text::Ho kéo dài,Ho kéo dài,text
symptom::ho khan,ho khan,symptom
symptom::ho đờm,ho đờm,symptom
symptom::mệt,mệt,symptom
symptom::đau ngực,đau ngực,symptom
disease::BENH011,Viêm thanh quản,disease
text::Viêm thanh quản,Viêm thanh quản,text
symptom::khàn tiếng,khàn tiếng,symptom
symptom::ho,ho,symptom
symptom::đau họng,đau họng,symptom
disease::BENH012,Viêm mũi cấp,disease
text::Viêm mũi cấp,Viêm mũi cấp,text
symptom::nghẹt mũi,nghẹt mũi,symptom
symptom::chảy mũi,chảy mũi,symptom
symptom::hắt hơi,hắt hơi,symptom
disease::BENH013,Viêm thanh khí phế quản,disease
text::Viêm thanh khí phế quản,Viêm thanh khí phế quản,text
symptom::ho ông ổng,ho ông ổng,symptom
symptom::khàn tiếng,khàn tiếng,symptom
symptom::khó thở,khó thở,symptom
disease::BENH014,Co thắt phế quản,disease
text::Co thắt phế quản,Co thắt phế quản,text
symptom::khò khè,khò khè,symptom
symptom::tức ngực,tức ngực,symptom
symptom::khó thở,khó thở,symptom
disease::BENH015,Viêm phổi cộng đồng,disease
text::Viêm phổi cộng đồng,Viêm phổi cộng đồng,text
symptom::sốt,sốt,symptom
symptom::ho,ho,symptom
symptom::khó thở,khó thở,symptom
symptom::đau ngực,đau ngực,symptom
disease::BENH016,Viêm dạ dày,disease
text::Viêm dạ dày,Viêm dạ dày,text
symptom::đau thượng vị,đau thượng vị,symptom
symptom::buồn nôn,buồn nôn,symptom
symptom::ợ nóng,ợ nóng,symptom
symptom::đầy bụng,đầy bụng,symptom
disease::BENH017,Trào ngược dạ dày thực quản,disease
text::Trào ngược dạ dày thực quản,Trào ngược dạ dày thực quản,text
symptom::ợ nóng,ợ nóng,symptom
symptom::ợ chua,ợ chua,symptom
symptom::đau ngực,đau ngực,symptom
symptom::khó chịu,khó chịu,symptom
disease::BENH018,Rối loạn tiêu hóa,disease
text::Rối loạn tiêu hóa,Rối loạn tiêu hóa,text
symptom::đau bụng,đau bụng,symptom
symptom::đầy hơi,đầy hơi,symptom
symptom::tiêu chảy,tiêu chảy,symptom
symptom::buồn nôn,buồn nôn,symptom
disease::BENH019,Tiêu chảy cấp,disease
text::Tiêu chảy cấp,Tiêu chảy cấp,text
symptom::tiêu chảy,tiêu chảy,symptom
symptom::đau bụng,đau bụng,symptom
symptom::mất nước,mất nước,symptom
symptom::mệt,mệt,symptom
disease::BENH020,Táo bón,disease
text::Táo bón,Táo bón,text
symptom::đi ngoài khó,đi ngoài khó,symptom
symptom::đau bụng,đau bụng,symptom
symptom::bụng chướng,bụng chướng,symptom
disease::BENH021,Bệnh trĩ,disease
text::Bệnh trĩ,Bệnh trĩ,text
symptom::đau rát hậu môn,đau rát hậu môn,symptom
symptom::chảy máu khi đi ngoài,chảy máu khi đi ngoài,symptom
disease::BENH022,Đau bụng,disease
text::Đau bụng,Đau bụng,text
symptom::đau bụng,đau bụng,symptom
symptom::buồn nôn,buồn nôn,symptom
symptom::chướng bụng,chướng bụng,symptom
disease::BENH023,Viêm gan,disease
text::Viêm gan,Viêm gan,text
symptom::mệt,mệt,symptom
symptom::vàng da,vàng da,symptom
symptom::chán ăn,chán ăn,symptom
symptom::đau hạ sườn phải,đau hạ sườn phải,symptom
disease::BENH024,Gan nhiễm mỡ,disease
text::Gan nhiễm mỡ,Gan nhiễm mỡ,text
symptom::mệt,mệt,symptom
symptom::nặng tức hạ sườn phải,nặng tức hạ sườn phải,symptom
disease::BENH025,Đầy hơi,disease
text::Đầy hơi,Đầy hơi,text
symptom::bụng chướng,bụng chướng,symptom
symptom::ợ hơi,ợ hơi,symptom
symptom::khó chịu,khó chịu,symptom
symptom::chán ăn,chán ăn,symptom
disease::BENH026,Viêm đại tràng,disease
text::Viêm đại tràng,Viêm đại tràng,text
symptom::đau bụng,đau bụng,symptom
symptom::tiêu chảy,tiêu chảy,symptom
symptom::đầy hơi,đầy hơi,symptom
symptom::mót rặn,mót rặn,symptom
disease::BENH027,Hội chứng ruột kích thích,disease
text::Hội chứng ruột kích thích,Hội chứng ruột kích thích,text
symptom::đau bụng,đau bụng,symptom
symptom::tiêu chảy,tiêu chảy,symptom
symptom::táo bón,táo bón,symptom
symptom::đầy hơi,đầy hơi,symptom
disease::BENH028,Viêm loét dạ dày tá tràng,disease
text::Viêm loét dạ dày tá tràng,Viêm loét dạ dày tá tràng,text
symptom::đau thượng vị,đau thượng vị,symptom
symptom::ợ nóng,ợ nóng,symptom
symptom::buồn nôn,buồn nôn,symptom
disease::BENH029,Nôn ói,disease
text::Nôn ói,Nôn ói,text
symptom::buồn nôn,buồn nôn,symptom
symptom::nôn,nôn,symptom
symptom::mệt,mệt,symptom
symptom::chóng mặt,chóng mặt,symptom
disease::BENH030,Chán ăn,disease
text::Chán ăn,Chán ăn,text
symptom::ăn kém,ăn kém,symptom
symptom::sụt cân,sụt cân,symptom
symptom::mệt,mệt,symptom
symptom::đầy bụng,đầy bụng,symptom
disease::BENH031,Tăng huyết áp,disease
text::Tăng huyết áp,Tăng huyết áp,text
symptom::đau đầu,đau đầu,symptom
symptom::hoa mắt,hoa mắt,symptom
symptom::chóng mặt,chóng mặt,symptom
symptom::mệt,mệt,symptom
disease::BENH032,Rối loạn lipid máu,disease
text::Rối loạn lipid máu,Rối loạn lipid máu,text
symptom::mỡ máu cao,mỡ máu cao,symptom
symptom::thừa cân,thừa cân,symptom
symptom::ít triệu chứng,ít triệu chứng,symptom
disease::BENH033,Đái tháo đường type 2,disease
text::Đái tháo đường type 2,Đái tháo đường type 2,text
symptom::khát nước,khát nước,symptom
symptom::tiểu nhiều,tiểu nhiều,symptom
symptom::mệt,mệt,symptom
symptom::sút cân,sút cân,symptom
disease::BENH034,Tiền đái tháo đường,disease
text::Tiền đái tháo đường,Tiền đái tháo đường,text
symptom::hơi khát nước,hơi khát nước,symptom
symptom::mệt,mệt,symptom
symptom::đường huyết tăng nhẹ,đường huyết tăng nhẹ,symptom
disease::BENH035,Tăng acid uric máu,disease
text::Tăng acid uric máu,Tăng acid uric máu,text
symptom::đau khớp,đau khớp,symptom
symptom::sưng khớp,sưng khớp,symptom
symptom::đau ngón chân cái,đau ngón chân cái,symptom
disease::BENH036,Béo phì,disease
text::Béo phì,Béo phì,text
symptom::tăng cân,tăng cân,symptom
symptom::thừa mỡ,thừa mỡ,symptom
symptom::khó thở khi vận động,khó thở khi vận động,symptom
disease::BENH037,Thừa cân,disease
text::Thừa cân,Thừa cân,text
symptom::tăng cân,tăng cân,symptom
symptom::BMI cao,BMI cao,symptom
symptom::mệt khi vận động,mệt khi vận động,symptom
disease::BENH038,Thiếu máu,disease
text::Thiếu máu,Thiếu máu,text
symptom::mệt,mệt,symptom
symptom::hoa mắt,hoa mắt,symptom
symptom::chóng mặt,chóng mặt,symptom
symptom::da xanh,da xanh,symptom
disease::BENH039,Rối loạn chuyển hóa,disease
text::Rối loạn chuyển hóa,Rối loạn chuyển hóa,text
symptom::mệt,mệt,symptom
symptom::tăng cân,tăng cân,symptom
symptom::đường huyết bất thường,đường huyết bất thường,symptom
disease::BENH040,Hạ đường huyết,disease
text::Hạ đường huyết,Hạ đường huyết,text
symptom::run tay,run tay,symptom
symptom::vã mồ hôi,vã mồ hôi,symptom
symptom::đói,đói,symptom
symptom::mệt,mệt,symptom
disease::BENH041,Rối loạn điện giải,disease
text::Rối loạn điện giải,Rối loạn điện giải,text
symptom::mệt,mệt,symptom
symptom::co cơ,co cơ,symptom
symptom::khát nước,khát nước,symptom
symptom::chóng mặt,chóng mặt,symptom
disease::BENH042,Tăng đường huyết,disease
text::Tăng đường huyết,Tăng đường huyết,text
symptom::khát nước,khát nước,symptom
symptom::tiểu nhiều,tiểu nhiều,symptom
symptom::mệt,mệt,symptom
disease::BENH043,Rối loạn tuyến giáp,disease
text::Rối loạn tuyến giáp,Rối loạn tuyến giáp,text
symptom::mệt,mệt,symptom
symptom::sụt cân,sụt cân,symptom
symptom::hồi hộp,hồi hộp,symptom
symptom::run tay,run tay,symptom
disease::BENH044,Rối loạn mỡ máu,disease
text::Rối loạn mỡ máu,Rối loạn mỡ máu,text
symptom::ít triệu chứng,ít triệu chứng,symptom
symptom::mỡ máu cao,mỡ máu cao,symptom
disease::BENH045,Rối loạn chuyển hóa acid uric,disease
text::Rối loạn chuyển hóa acid uric,Rối loạn chuyển hóa acid uric,text
symptom::đau khớp,đau khớp,symptom
symptom::sưng khớp,sưng khớp,symptom
symptom::mệt,mệt,symptom
disease::BENH046,Đau cơ xương khớp,disease
text::Đau cơ xương khớp,Đau cơ xương khớp,text
symptom::đau cơ,đau cơ,symptom
symptom::đau khớp,đau khớp,symptom
symptom::cứng khớp,cứng khớp,symptom
symptom::đau khi vận động,đau khi vận động,symptom
disease::BENH047,Đau lưng dưới,disease
text::Đau lưng dưới,Đau lưng dưới,text
symptom::đau thắt lưng,đau thắt lưng,symptom
symptom::đau lan mông,đau lan mông,symptom
symptom::cứng lưng,cứng lưng,symptom
disease::BENH048,Viêm khớp,disease
text::Viêm khớp,Viêm khớp,text
symptom::đau khớp,đau khớp,symptom
symptom::sưng khớp,sưng khớp,symptom
symptom::cứng khớp,cứng khớp,symptom
symptom::hạn chế vận động,hạn chế vận động,symptom
disease::BENH049,Thoái hóa khớp gối,disease
text::Thoái hóa khớp gối,Thoái hóa khớp gối,text
symptom::đau gối,đau gối,symptom
symptom::cứng khớp,cứng khớp,symptom
symptom::khó đi lại,khó đi lại,symptom
disease::BENH050,Chấn thương phần mềm,disease
text::Chấn thương phần mềm,Chấn thương phần mềm,text
symptom::sưng đau,sưng đau,symptom
symptom::bầm tím,bầm tím,symptom
symptom::đau khi vận động,đau khi vận động,symptom
disease::BENH051,Trật khớp,disease
text::Trật khớp,Trật khớp,text
symptom::đau dữ dội,đau dữ dội,symptom
symptom::biến dạng khớp,biến dạng khớp,symptom
symptom::hạn chế vận động,hạn chế vận động,symptom
disease::BENH052,Đau vai gáy,disease
text::Đau vai gáy,Đau vai gáy,text
symptom::đau cổ vai gáy,đau cổ vai gáy,symptom
symptom::cứng cổ,cứng cổ,symptom
symptom::tê tay,tê tay,symptom
disease::BENH053,Đau cổ,disease
text::Đau cổ,Đau cổ,text
symptom::đau cổ,đau cổ,symptom
symptom::cứng cổ,cứng cổ,symptom
symptom::hạn chế xoay cổ,hạn chế xoay cổ,symptom
disease::BENH054,Viêm gân,disease
text::Viêm gân,Viêm gân,text
symptom::đau tại gân,đau tại gân,symptom
symptom::sưng nhẹ,sưng nhẹ,symptom
symptom::đau khi vận động,đau khi vận động,symptom
disease::BENH055,Loãng xương,disease
text::Loãng xương,Loãng xương,text
symptom::đau lưng,đau lưng,symptom
symptom::giảm chiều cao,giảm chiều cao,symptom
symptom::dễ gãy xương,dễ gãy xương,symptom
disease::BENH056,Bong gân,disease
text::Bong gân,Bong gân,text
symptom::sưng đau,sưng đau,symptom
symptom::hạn chế vận động,hạn chế vận động,symptom
symptom::bầm tím,bầm tím,symptom
disease::BENH057,Đau khớp gối,disease
text::Đau khớp gối,Đau khớp gối,text
symptom::đau gối,đau gối,symptom
symptom::cứng khớp,cứng khớp,symptom
symptom::đi lại khó,đi lại khó,symptom
disease::BENH058,Đau vai,disease
text::Đau vai,Đau vai,text
symptom::đau vai,đau vai,symptom
symptom::hạn chế nâng tay,hạn chế nâng tay,symptom
symptom::cứng khớp,cứng khớp,symptom
disease::BENH059,Đau lưng trên,disease
text::Đau lưng trên,Đau lưng trên,text
symptom::đau lưng,đau lưng,symptom
symptom::căng cơ,căng cơ,symptom
symptom::mỏi vai,mỏi vai,symptom
disease::BENH060,Viêm bao hoạt dịch,disease
text::Viêm bao hoạt dịch,Viêm bao hoạt dịch,text
symptom::đau khớp,đau khớp,symptom
symptom::sưng nóng,sưng nóng,symptom
symptom::hạn chế vận động,hạn chế vận động,symptom
disease::BENH061,Dị ứng,disease
text::Dị ứng,Dị ứng,text
symptom::ngứa,ngứa,symptom
symptom::nổi mề đay,nổi mề đay,symptom
symptom::hắt hơi,hắt hơi,symptom
symptom::chảy nước mắt,chảy nước mắt,symptom
disease::BENH062,Viêm da dị ứng,disease
text::Viêm da dị ứng,Viêm da dị ứng,text
symptom::ngứa da,ngứa da,symptom
symptom::mẩn đỏ,mẩn đỏ,symptom
symptom::khô da,khô da,symptom
symptom::rát da,rát da,symptom
disease::BENH063,Chàm da,disease
text::Chàm da,Chàm da,text
symptom::ngứa,ngứa,symptom
symptom::da khô,da khô,symptom
symptom::mẩn đỏ,mẩn đỏ,symptom
symptom::bong vảy,bong vảy,symptom
disease::BENH064,Nhiễm trùng da,disease
text::Nhiễm trùng da,Nhiễm trùng da,text
symptom::đỏ da,đỏ da,symptom
symptom::sưng,sưng,symptom
symptom::đau,đau,symptom
symptom::mủ,mủ,symptom
symptom::sốt,sốt,symptom
disease::BENH065,Mẩn ngứa,disease
text::Mẩn ngứa,Mẩn ngứa,text
symptom::ngứa,ngứa,symptom
symptom::nổi ban,nổi ban,symptom
symptom::đỏ da,đỏ da,symptom
disease::BENH066,Mề đay,disease
text::Mề đay,Mề đay,text
symptom::nổi mảng phù,nổi mảng phù,symptom
symptom::ngứa,ngứa,symptom
symptom::đỏ da,đỏ da,symptom
disease::BENH067,Nấm da,disease
text::Nấm da,Nấm da,text
symptom::ngứa,ngứa,symptom
symptom::bong vảy,bong vảy,symptom
symptom::tổn thương vòng,tổn thương vòng,symptom
disease::BENH068,Nấm kẽ,disease
text::Nấm kẽ,Nấm kẽ,text
symptom::ngứa,ngứa,symptom
symptom::hăm kẽ,hăm kẽ,symptom
symptom::đỏ da,đỏ da,symptom
disease::BENH069,Viêm da tiếp xúc,disease
text::Viêm da tiếp xúc,Viêm da tiếp xúc,text
symptom::đỏ da,đỏ da,symptom
symptom::rát,rát,symptom
symptom::ngứa,ngứa,symptom
symptom::phồng rộp,phồng rộp,symptom
disease::BENH070,Rôm sảy,disease
text::Rôm sảy,Rôm sảy,text
symptom::ngứa,ngứa,symptom
symptom::nổi mẩn nhỏ,nổi mẩn nhỏ,symptom
symptom::rát da,rát da,symptom
disease::BENH071,Mụn trứng cá,disease
text::Mụn trứng cá,Mụn trứng cá,text
symptom::mụn viêm,mụn viêm,symptom
symptom::mụn đầu đen,mụn đầu đen,symptom
symptom::da dầu,da dầu,symptom
disease::BENH072,Khô da,disease
text::Khô da,Khô da,text
symptom::da khô,da khô,symptom
symptom::nứt nẻ,nứt nẻ,symptom
symptom::ngứa,ngứa,symptom
disease::BENH073,Nấm móng,disease
text::Nấm móng,Nấm móng,text
symptom::móng dày,móng dày,symptom
symptom::đổi màu,đổi màu,symptom
symptom::giòn móng,giòn móng,symptom
disease::BENH074,Viêm nang lông,disease
text::Viêm nang lông,Viêm nang lông,text
symptom::mụn mủ nhỏ,mụn mủ nhỏ,symptom
symptom::ngứa,ngứa,symptom
symptom::đỏ da,đỏ da,symptom
disease::BENH075,Vảy nến,disease
text::Vảy nến,Vảy nến,text
symptom::mảng đỏ,mảng đỏ,symptom
symptom::vảy trắng,vảy trắng,symptom
symptom::ngứa,ngứa,symptom
disease::BENH076,Nhiễm khuẩn tiết niệu,disease
text::Nhiễm khuẩn tiết niệu,Nhiễm khuẩn tiết niệu,text
symptom::tiểu buốt,tiểu buốt,symptom
