node_id,label,type
drug::T001,Paracetamol 500mg,drug
group::DM005,DM005,group
family::Paracetamol 500mg,Paracetamol 500mg,family
drug::T002,Amoxicillin 500mg,drug
group::DM008,DM008,group
family::Amoxicillin 500mg,Amoxicillin 500mg,family
drug::T003,Cefixime 200mg,drug
group::DM008,DM008,group
family::Cefixime 200mg,Cefixime 200mg,family
drug::T004,Azithromycin 500mg,drug
group::DM008,DM008,group
family::Azithromycin 500mg,Azithromycin 500mg,family
drug::T005,Cetirizine 10mg,drug
group::DM007,DM007,group
family::Cetirizine 10mg,Cetirizine 10mg,family
drug::T006,Loratadine 10mg,drug
group::DM007,DM007,group
family::Loratadine 10mg,Loratadine 10mg,family
drug::T007,Omeprazole 20mg,drug
group::DM004,DM004,group
family::Omeprazole 20mg,Omeprazole 20mg,family
drug::T008,Pantoprazole 40mg,drug
group::DM004,DM004,group
family::Pantoprazole 40mg,Pantoprazole 40mg,family
drug::T009,Metformin 500mg,drug
group::DM009,DM009,group
family::Metformin 500mg,Metformin 500mg,family
drug::T010,Gliclazide 80mg,drug
group::DM009,DM009,group
family::Gliclazide 80mg,Gliclazide 80mg,family
drug::T011,Amlodipine 5mg,drug
group::DM011,DM011,group
family::Amlodipine 5mg,Amlodipine 5mg,family
drug::T012,Losartan 50mg,drug
group::DM011,DM011,group
family::Losartan 50mg,Losartan 50mg,family
drug::T013,Ibuprofen 400mg,drug
group::DM002,DM002,group
family::Ibuprofen 400mg,Ibuprofen 400mg,family
drug::T014,Diclofenac 50mg,drug
group::DM002,DM002,group
family::Diclofenac 50mg,Diclofenac 50mg,family
drug::T015,Salbutamol 2mg,drug
group::DM006,DM006,group
family::Salbutamol 2mg,Salbutamol 2mg,family
drug::T016,Bromhexine 8mg,drug
group::DM006,DM006,group
family::Bromhexine 8mg,Bromhexine 8mg,family
drug::T017,Acetylcysteine 200mg,drug
group::DM006,DM006,group
family::Acetylcysteine 200mg,Acetylcysteine 200mg,family
drug::T018,ORS 1 gói,drug
group::DM001,DM001,group
family::ORS 1 gói,ORS 1 gói,family
drug::T019,Melatonin 3mg,drug
group::DM010,DM010,group
family::Melatonin 3mg,Melatonin 3mg,family
drug::T020,Clotrimazole 1%,drug
group::DM003,DM003,group
family::Clotrimazole 1%,Clotrimazole 1%,family
drug::T021,Dextromethorphan 15mg,drug
group::DM006,DM006,group
family::Dextromethorphan 15mg,Dextromethorphan 15mg,family
drug::T022,Domperidone 10mg,drug
group::DM004,DM004,group
family::Domperidone 10mg,Domperidone 10mg,family
drug::T023,Captopril 25mg,drug
group::DM011,DM011,group
family::Captopril 25mg,Captopril 25mg,family
drug::T024,Insulin 100IU/ml,drug
group::DM009,DM009,group
family::Insulin 100IU/ml,Insulin 100IU/ml,family
drug::T025,Levofloxacin 500mg,drug
group::DM008,DM008,group
family::Levofloxacin 500mg,Levofloxacin 500mg,family
